warning_id,project,rule_id,strategy,n_snippets,tokens,snippet_ids,explanation,quality
commons-bcel#0005,commons-bcel,MS_MUTABLE_ARRAY,selected,3,39967,s01;s02;s04,"SpotBugs rule MS_MUTABLE_ARRAY reports that org.apache.bcel.const.short_type_names is a mutable array. This is consistent with the supplied enclosing method, field or type declaration, warning line ([s01], [s02], [s04]) at org/apache/bcel/Const.java:2907. The selected snippets concentrate on the closest evidence, which keeps the explanation grounded in supplied code.",3.625
commons-bcel#0006,commons-bcel,EI_EXPOSE_REP,local_only,2,48,s01;s02,"SpotBugs rule EI_EXPOSE_REP reports that org.apache.bcel.generic.instructionlist.insert(instructionlist) may expose internal representation by returning instructionlist.start. This is consistent with the supplied enclosing method, warning line ([s01], [s02]) at org/apache/bcel/generic/InstructionList.java:842. Because only the warning line and enclosing method are shown here, the explanation cannot rule out external callers or contracts.",2.875
commons-bcel#0006,commons-bcel,EI_EXPOSE_REP,full,9,698,s01;s02;s03;s04;s05;s06;s07;s08;s09,"SpotBugs rule EI_EXPOSE_REP reports that org.apache.bcel.generic.instructionlist.insert(instructionlist) may expose internal representation by returning instructionlist.start. This is consistent with the supplied enclosing class, enclosing method, warning line ([s01], [s02], [s03]) at org/apache/bcel/generic/InstructionList.java:842. Across all 9 candidate snippets, the supporting evidence is dispersed; some snippets are unrelated to the specific defect.",3.625
commons-bcel#0006,commons-bcel,EI_EXPOSE_REP,selected,3,54,s02;s01;s09,"SpotBugs rule EI_EXPOSE_REP reports that org.apache.bcel.generic.instructionlist.insert(instructionlist) may expose internal representation by returning instructionlist.start. This is consistent with the supplied enclosing method, field or type declaration, warning line ([s02], [s01], [s09]) at org/apache/bcel/generic/InstructionList.java:842. The selected snippets concentrate on the closest evidence, which keeps the explanation grounded in supplied code.",3.75
commons-bcel#0008,commons-bcel,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,local_only,2,34,s01;s02,"SpotBugs rule THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION reports that method lists exception in its throws clause, but it could be more specific. This is consistent with the supplied enclosing method, warning line ([s01], [s02]) at org/apache/bcel/util/JavaWrapper.java:70. Because only the warning line and enclosing method are shown here, the explanation cannot rule out external callers or contracts.",3
commons-bcel#0008,commons-bcel,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,full,6,685,s01;s02;s03;s04;s05;s06,"SpotBugs rule THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION reports that method lists exception in its throws clause, but it could be more specific. This is consistent with the supplied enclosing class, enclosing method, warning line ([s01], [s02], [s03]) at org/apache/bcel/util/JavaWrapper.java:70. Across all 6 candidate snippets, the supporting evidence is dispersed; some snippets are unrelated to the specific defect.",3.625
commons-bcel#0008,commons-bcel,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,selected,3,43,s01;s02;s06,"SpotBugs rule THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION reports that method lists exception in its throws clause, but it could be more specific. This is consistent with the supplied callee, enclosing method, warning line ([s01], [s02], [s06]) at org/apache/bcel/util/JavaWrapper.java:70. The selected snippets concentrate on the closest evidence, which keeps the explanation grounded in supplied code.",3.5
commons-bcel#0009,commons-bcel,SIC_INNER_SHOULD_BE_STATIC_ANON,local_only,2,161,s01;s02,"SpotBugs rule SIC_INNER_SHOULD_BE_STATIC_ANON reports that the class org.apache.bcel.util.classpath$jrtmodule$1 could be refactored into a named _static_ inner class. This is consistent with the supplied enclosing method, warning line ([s01], [s02]) at org/apache/bcel/util/ClassPath.java:299. Because only the warning line and enclosing method are shown here, the explanation cannot rule out external callers or contracts.",2.875
commons-bcel#0009,commons-bcel,SIC_INNER_SHOULD_BE_STATIC_ANON,full,6,393,s01;s02;s03;s04;s05;s06,"SpotBugs rule SIC_INNER_SHOULD_BE_STATIC_ANON reports that the class org.apache.bcel.util.classpath$jrtmodule$1 could be refactored into a named _static_ inner class. This is consistent with the supplied enclosing class, enclosing method, warning line ([s01], [s02], [s03]) at org/apache/bcel/util/ClassPath.java:299. Across all 6 candidate snippets, the supporting evidence is dispersed; some snippets are unrelated to the specific defect.",3.625
commons-bcel#0009,commons-bcel,SIC_INNER_SHOULD_BE_STATIC_ANON,selected,3,179,s01;s02;s05,"SpotBugs rule SIC_INNER_SHOULD_BE_STATIC_ANON reports that the class org.apache.bcel.util.classpath$jrtmodule$1 could be refactored into a named _static_ inner class. This is consistent with the supplied callee, enclosing method, warning line ([s01], [s02], [s05]) at org/apache/bcel/util/ClassPath.java:299. The selected snippets concentrate on the closest evidence, which keeps the explanation grounded in supplied code.",3.875
commons-collections#0001,commons-collections,SE_INNER_CLASS,local_only,2,66,s01;s02,"SpotBugs rule SE_INNER_CLASS reports that org.apache.commons.collections4.map.abstractinputcheckedmapdecorator$entryset is serializable and an inner class. This is consistent with the supplied enclosing method, warning line ([s01], [s02]) at org/apache/commons/collections4/map/AbstractInputCheckedMapDecorator.java:61. Because only the warning line and enclosing method are shown here, the explanation cannot rule out external callers or contracts.",3
commons-collections#0001,commons-collections,SE_INNER_CLASS,full,9,608,s01;s02;s03;s04;s05;s06;s08;s09;s10,"SpotBugs rule SE_INNER_CLASS reports that org.apache.commons.collections4.map.abstractinputcheckedmapdecorator$entryset is serializable and an inner class. This is consistent with the supplied enclosing class, enclosing method, warning line ([s01], [s02], [s03]) at org/apache/commons/collections4/map/AbstractInputCheckedMapDecorator.java:61. Across all 9 candidate snippets, the supporting evidence is dispersed; some snippets are unrelated to the specific defect.",4.0
commons-collections#0001,commons-collections,SE_INNER_CLASS,selected,3,83,s01;s02;s09,"SpotBugs rule SE_INNER_CLASS reports that org.apache.commons.collections4.map.abstractinputcheckedmapdecorator$entryset is serializable and an inner class. This is consistent with the supplied enclosing method, field or type declaration, warning line ([s01], [s02], [s09]) at org/apache/commons/collections4/map/AbstractInputCheckedMapDecorator.java:61. The selected snippets concentrate on the closest evidence, which keeps the explanation grounded in supplied code.",4
commons-collections#0002,commons-collections,SING_SINGLETON_IMPLEMENTS_SERIALIZABLE,local_only,2,216,s01;s02,"SpotBugs rule SING_SINGLETON_IMPLEMENTS_SERIALIZABLE reports that class (org.apache.commons.collections4.comparators.booleancomparator) using singleton design pattern directly or indirectly implements serializable interface. This is consistent with the supplied enclosing method, warning line ([s01], [s02]) at org/apache/commons/collections4/comparators/BooleanComparator.java:31. Because only the warning line and enclosing method are shown here, the explanation cannot rule out external callers or contracts.",3.125
commons-collections#0002,commons-collections,SING_SINGLETON_IMPLEMENTS_SERIALIZABLE,full,6,1177,s01;s02;s03;s04;s05;s06,"SpotBugs rule SING_SINGLETON_IMPLEMENTS_SERIALIZABLE reports that class (org.apache.commons.collections4.comparators.booleancomparator) using singleton design pattern directly or indirectly implements serializable interface. This is consistent with the supplied enclosing class, enclosing method, warning line ([s01], [s02], [s03]) at org/apache/commons/collections4/comparators/BooleanComparator.java:31. Across all 6 candidate snippets, the supporting evidence is dispersed; some snippets are unrelated to the specific defect.",3.5
commons-collections#0002,commons-collections,SING_SINGLETON_IMPLEMENTS_SERIALIZABLE,selected,3,233,s01;s02;s04,"SpotBugs rule SING_SINGLETON_IMPLEMENTS_SERIALIZABLE reports that class (org.apache.commons.collections4.comparators.booleancomparator) using singleton design pattern directly or indirectly implements serializable interface. This is consistent with the supplied enclosing method, field or type declaration, warning line ([s01], [s02], [s04]) at org/apache/commons/collections4/comparators/BooleanComparator.java:31. The selected snippets concentrate on the closest evidence, which keeps the explanation grounded in supplied code.",3.75
commons-collections#0003,commons-collections,EQ_COMPARETO_USE_OBJECT_EQUALS,local_only,2,30,s01;s02,"SpotBugs rule EQ_COMPARETO_USE_OBJECT_EQUALS reports that org.apache.commons.collections4.bloomfilter.cellextractor$1$countercell defines compareto(cellextractor$1$countercell) and uses object.equals(). This is consistent with the supplied enclosing method, warning line ([s01], [s02]) at org/apache/commons/collections4/bloomfilter/CellExtractor.java:103. Because only the warning line and enclosing method are shown here, the explanation cannot rule out external callers or contracts.",3.125
commons-collections#0003,commons-collections,EQ_COMPARETO_USE_OBJECT_EQUALS,full,8,139,s01;s02;s03;s04;s05;s06;s07;s09,"SpotBugs rule EQ_COMPARETO_USE_OBJECT_EQUALS reports that org.apache.commons.collections4.bloomfilter.cellextractor$1$countercell defines compareto(cellextractor$1$countercell) and uses object.equals(). This is consistent with the supplied enclosing class, enclosing method, warning line ([s01], [s02], [s03]) at org/apache/commons/collections4/bloomfilter/CellExtractor.java:103. Across all 8 candidate snippets, the supporting evidence is dispersed; some snippets are unrelated to the specific defect.",3.75
commons-collections#0003,commons-collections,EQ_COMPARETO_USE_OBJECT_EQUALS,selected,3,40,s02;s01;s07,"SpotBugs rule EQ_COMPARETO_USE_OBJECT_EQUALS reports that org.apache.commons.collections4.bloomfilter.cellextractor$1$countercell defines compareto(cellextractor$1$countercell) and uses object.equals(). This is consistent with the supplied callee, enclosing method, warning line ([s02], [s01], [s07]) at org/apache/commons/collections4/bloomfilter/CellExtractor.java:103. The selected snippets concentrate on the closest evidence, which keeps the explanation grounded in supplied code.",3.375
commons-collections#0004,commons-collections,URF_UNREAD_FIELD,local_only,2,83,s01;s02,"SpotBugs rule URF_UNREAD_FIELD reports that unread field: org.apache.commons.collections4.map.abstractreferencemap$referencebaseiterator.currentvalue. This is consistent with the supplied enclosing method, warning line ([s01], [s02]) at org/apache/commons/collections4/map/AbstractReferenceMap.java:166. Because only the warning line and enclosing method are shown here, the explanation cannot rule out external callers or contracts.",3.375
commons-collections#0004,commons-collections,URF_UNREAD_FIELD,full,9,684,s01;s02;s03;s04;s05;s06;s07;s08;s09,"SpotBugs rule URF_UNREAD_FIELD reports that unread field: org.apache.commons.collections4.map.abstractreferencemap$referencebaseiterator.currentvalue. This is consistent with the supplied enclosing class, enclosing method, warning line ([s01], [s02], [s03]) at org/apache/commons/collections4/map/AbstractReferenceMap.java:166. Across all 9 candidate snippets, the supporting evidence is dispersed; some snippets are unrelated to the specific defect.",3.875
commons-collections#0004,commons-collections,URF_UNREAD_FIELD,selected,3,89,s01;s02;s08,"SpotBugs rule URF_UNREAD_FIELD reports that unread field: org.apache.commons.collections4.map.abstractreferencemap$referencebaseiterator.currentvalue. This is consistent with the supplied callee, enclosing method, warning line ([s01], [s02], [s08]) at org/apache/commons/collections4/map/AbstractReferenceMap.java:166. The selected snippets concentrate on the closest evidence, which keeps the explanation grounded in supplied code.",4
commons-collections#0005,commons-collections,CT_CONSTRUCTOR_THROW,local_only,2,61,s01;s02,"SpotBugs rule CT_CONSTRUCTOR_THROW reports that exception thrown in class org.apache.commons.collections4.iterators.collatingiterator at new org.apache.commons.collections4.iterators.collatingiterator(comparator, collection) will leave the constructor. the object under construction remains partially initialized and may be vulnerable to finalizer attacks. This is consistent with the supplied enclosing method, warning line ([s01], [s02]) at org/apache/commons/collections4/iterators/CollatingIterator.java:98. Because only the warning line and enclosing method are shown here, the explanation cannot rule out external callers or contracts.",3.375
commons-collections#0005,commons-collections,CT_CONSTRUCTOR_THROW,full,7,1083,s01;s02;s03;s04;s06;s07;s08,"SpotBugs rule CT_CONSTRUCTOR_THROW reports that exception thrown in class org.apache.commons.collections4.iterators.collatingiterator at new org.apache.commons.collections4.iterators.collatingiterator(comparator, collection) will leave the constructor. the object under construction remains partially initialized and may be vulnerable to finalizer attacks. This is consistent with the supplied enclosing class, enclosing method, warning line ([s01], [s02], [s03]) at org/apache/commons/collections4/iterators/CollatingIterator.java:98. Across all 7 candidate snippets, the supporting evidence is dispersed; some snippets are unrelated to the specific defect.",4.125
commons-collections#0005,commons-collections,CT_CONSTRUCTOR_THROW,selected,3,70,s01;s02;s06,"SpotBugs rule CT_CONSTRUCTOR_THROW reports that exception thrown in class org.apache.commons.collections4.iterators.collatingiterator at new org.apache.commons.collections4.iterators.collatingiterator(comparator, collection) will leave the constructor. the object under construction remains partially initialized and may be vulnerable to finalizer attacks. This is consistent with the supplied enclosing method, field or type declaration, warning line ([s01], [s02], [s06]) at org/apache/commons/collections4/iterators/CollatingIterator.java:98. The selected snippets concentrate on the closest evidence, which keeps the explanation grounded in supplied code.",4.0
commons-collections#0006,commons-collections,MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,local_only,2,33,s01;s02,"SpotBugs rule MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR reports that overridable method init() is called from constructor new org.apache.commons.collections4.list.cursorablelinkedlist(). This is consistent with the supplied enclosing method, warning line ([s01], [s02]) at org/apache/commons/collections4/list/CursorableLinkedList.java:303. Because only the warning line and enclosing method are shown here, the explanation cannot rule out external callers or contracts.",3.625
commons-collections#0006,commons-collections,MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,full,5,799,s01;s02;s03;s04;s06,"SpotBugs rule MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR reports that overridable method init() is called from constructor new org.apache.commons.collections4.list.cursorablelinkedlist(). This is consistent with the supplied enclosing class, enclosing method, warning line ([s01], [s02], [s03]) at org/apache/commons/collections4/list/CursorableLinkedList.java:303. Across all 5 candidate snippets, the supporting evidence is dispersed; some snippets are unrelated to the specific defect.",3.75
commons-collections#0006,commons-collections,MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,selected,3,40,s02;s01;s04,"SpotBugs rule MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR reports that overridable method init() is called from constructor new org.apache.commons.collections4.list.cursorablelinkedlist(). This is consistent with the supplied callee, enclosing method, warning line ([s02], [s01], [s04]) at org/apache/commons/collections4/list/CursorableLinkedList.java:303. The selected snippets concentrate on the closest evidence, which keeps the explanation grounded in supplied code.",4.125
commons-collections#0007,commons-collections,NP_BOOLEAN_RETURN_NULL,local_only,2,39,s01;s02,"SpotBugs rule NP_BOOLEAN_RETURN_NULL reports that org.apache.commons.collections4.maputils.getboolean(map, object) has boolean return type and returns explicit null. This is consistent with the supplied enclosing method, warning line ([s01], [s02]) at org/apache/commons/collections4/MapUtils.java:242. Because only the warning line and enclosing method are shown here, the explanation cannot rule out external callers or contracts.",3.5
commons-collections#0007,commons-collections,NP_BOOLEAN_RETURN_NULL,full,6,1078,s01;s02;s03;s04;s05;s06,"SpotBugs rule NP_BOOLEAN_RETURN_NULL reports that org.apache.commons.collections4.maputils.getboolean(map, object) has boolean return type and returns explicit null. This is consistent with the supplied enclosing class, enclosing method, warning line ([s01], [s02], [s03]) at org/apache/commons/collections4/MapUtils.java:242. Across all 6 candidate snippets, the supporting evidence is dispersed; some snippets are unrelated to the specific defect.",3.875
commons-collections#0007,commons-collections,NP_BOOLEAN_RETURN_NULL,selected,3,62,s01;s02;s05,"SpotBugs rule NP_BOOLEAN_RETURN_NULL reports that org.apache.commons.collections4.maputils.getboolean(map, object) has boolean return type and returns explicit null. This is consistent with the supplied enclosing method, field or type declaration, warning line ([s01], [s02], [s05]) at org/apache/commons/collections4/MapUtils.java:242. The selected snippets concentrate on the closest evidence, which keeps the explanation grounded in supplied code.",3.875
commons-compress#0001,commons-compress,RV_EXCEPTION_NOT_THROWN,local_only,2,71,s01;s02,"SpotBugs rule RV_EXCEPTION_NOT_THROWN reports that new compressexception(string, throwable) not thrown in org.apache.commons.compress.compressexception.requirenonnull(class, object, supplier). This is consistent with the supplied enclosing method, warning line ([s01], [s02]) at org/apache/commons/compress/CompressException.java:75. Because only the warning line and enclosing method are shown here, the explanation cannot rule out external callers or contracts.",3.5
commons-compress#0001,commons-compress,RV_EXCEPTION_NOT_THROWN,full,6,849,s01;s02;s03;s04;s05;s06,"SpotBugs rule RV_EXCEPTION_NOT_THROWN reports that new compressexception(string, throwable) not thrown in org.apache.commons.compress.compressexception.requirenonnull(class, object, supplier). This is consistent with the supplied enclosing class, enclosing method, warning line ([s01], [s02], [s03]) at org/apache/commons/compress/CompressException.java:75. Across all 6 candidate snippets, the supporting evidence is dispersed; some snippets are unrelated to the specific defect.",3.875
commons-compress#0001,commons-compress,RV_EXCEPTION_NOT_THROWN,selected,3,81,s01;s02;s06,"SpotBugs rule RV_EXCEPTION_NOT_THROWN reports that new compressexception(string, throwable) not thrown in org.apache.commons.compress.compressexception.requirenonnull(class, object, supplier). This is consistent with the supplied enclosing method, field or type declaration, warning line ([s01], [s02], [s06]) at org/apache/commons/compress/CompressException.java:75. The selected snippets concentrate on the closest evidence, which keeps the explanation grounded in supplied code.",3.875
commons-compress#0003,commons-compress,URF_UNREAD_FIELD,local_only,2,56,s01;s02,"SpotBugs rule URF_UNREAD_FIELD reports that unread field: org.apache.commons.compress.archivers.cpio.cpioarchiveoutputstream.charsetname. This is consistent with the supplied enclosing method, warning line ([s01], [s02]) at org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java:158. Because only the warning line and enclosing method are shown here, the explanation cannot rule out external callers or contracts.",3.125
commons-compress#0003,commons-compress,URF_UNREAD_FIELD,full,7,933,s01;s02;s03;s04;s05;s06;s07,"SpotBugs rule URF_UNREAD_FIELD reports that unread field: org.apache.commons.compress.archivers.cpio.cpioarchiveoutputstream.charsetname. This is consistent with the supplied enclosing class, enclosing method, warning line ([s01], [s02], [s03]) at org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java:158. Across all 7 candidate snippets, the supporting evidence is dispersed; some snippets are unrelated to the specific defect.",3.75
commons-compress#0003,commons-compress,URF_UNREAD_FIELD,selected,3,67,s01;s02;s05,"SpotBugs rule URF_UNREAD_FIELD reports that unread field: org.apache.commons.compress.archivers.cpio.cpioarchiveoutputstream.charsetname. This is consistent with the supplied enclosing method, field or type declaration, warning line ([s01], [s02], [s05]) at org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java:158. The selected snippets concentrate on the closest evidence, which keeps the explanation grounded in supplied code.",3.75
commons-compress#0004,commons-compress,HE_HASHCODE_NO_EQUALS,local_only,2,20,s01;s02,"SpotBugs rule HE_HASHCODE_NO_EQUALS reports that org.apache.commons.compress.harmony.unpack200.bytecode.cpmethod defines hashcode but not equals. This is consistent with the supplied enclosing method, warning line ([s01], [s02]) at org/apache/commons/compress/harmony/unpack200/bytecode/CPMethod.java:57. Because only the warning line and enclosing method are shown here, the explanation cannot rule out external callers or contracts.",3.25
commons-compress#0004,commons-compress,HE_HASHCODE_NO_EQUALS,full,7,268,s01;s02;s03;s04;s05;s06;s07,"SpotBugs rule HE_HASHCODE_NO_EQUALS reports that org.apache.commons.compress.harmony.unpack200.bytecode.cpmethod defines hashcode but not equals. This is consistent with the supplied enclosing class, enclosing method, warning line ([s01], [s02], [s03]) at org/apache/commons/compress/harmony/unpack200/bytecode/CPMethod.java:57. Across all 7 candidate snippets, the supporting evidence is dispersed; some snippets are unrelated to the specific defect.",3.875
commons-compress#0004,commons-compress,HE_HASHCODE_NO_EQUALS,selected,3,26,s01;s02;s06,"SpotBugs rule HE_HASHCODE_NO_EQUALS reports that org.apache.commons.compress.harmony.unpack200.bytecode.cpmethod defines hashcode but not equals. This is consistent with the supplied enclosing method, field or type declaration, warning line ([s01], [s02], [s06]) at org/apache/commons/compress/harmony/unpack200/bytecode/CPMethod.java:57. The selected snippets concentrate on the closest evidence, which keeps the explanation grounded in supplied code.",4.0
commons-compress#0007,commons-compress,AT_NONATOMIC_OPERATIONS_ON_SHARED_VARIABLE,local_only,2,26,s01;s02,"SpotBugs rule AT_NONATOMIC_OPERATIONS_ON_SHARED_VARIABLE reports that operation on the ""bytesread"" shared variable in ""archiveinputstream"" class is not atomic. This is consistent with the supplied enclosing method, warning line ([s01], [s02]) at org/apache/commons/compress/archivers/ArchiveInputStream.java:284. Because only the warning line and enclosing method are shown here, the explanation cannot rule out external callers or contracts.",3.0
commons-compress#0007,commons-compress,AT_NONATOMIC_OPERATIONS_ON_SHARED_VARIABLE,full,10,434,s01;s02;s03;s04;s05;s06;s07;s08;s09;s10,"SpotBugs rule AT_NONATOMIC_OPERATIONS_ON_SHARED_VARIABLE reports that operation on the ""bytesread"" shared variable in ""archiveinputstream"" class is not atomic. This is consistent with the supplied enclosing class, enclosing method, warning line ([s01], [s02], [s03]) at org/apache/commons/compress/archivers/ArchiveInputStream.java:284. Across all 10 candidate snippets, the supporting evidence is dispersed; some snippets are unrelated to the specific defect.",3.875
commons-compress#0007,commons-compress,AT_NONATOMIC_OPERATIONS_ON_SHARED_VARIABLE,selected,3,31,s02;s01;s08,"SpotBugs rule AT_NONATOMIC_OPERATIONS_ON_SHARED_VARIABLE reports that operation on the ""bytesread"" shared variable in ""archiveinputstream"" class is not atomic. This is consistent with the supplied enclosing method, field or type declaration, warning line ([s02], [s01], [s08]) at org/apache/commons/compress/archivers/ArchiveInputStream.java:284. The selected snippets concentrate on the closest evidence, which keeps the explanation grounded in supplied code.",4
